레벨별 몬스터 HP 설계용 · 10직업 비크리티컬 1회 공격 데미지
2026-09-11 / 현재 바탕화면 MSW 프로젝트 코드의 정적 계산 / UTF-8 메모장 문서
==========================================================================================
측정 범위와 가정
· Lv10~200, 10레벨 간격. Lv30=1차까지만, Lv70=2차까지만, Lv120=3차까지만 사용.
  다른 구간도 개별 스킬 요구레벨을 적용. 160 이후에도 4차까지만 계산(하이퍼 제외).
· 실제 Maker에서 반복 타격한 실측이 아니라 실행 수식을 옮긴 조건부 이론 평균이다.
· /lv 표준 레벨 곡선: 버프 전 총합 T=7L, 기본 전투력=floor((7L)^2/100).
  장비 잠재 추가데미지 0%, 초보자 공통 무기숙련 등 추가 공격력 0. 레벨만으로 실제 장비 구성은
  정해지지 않으므로 동일한 레벨 기준선을 사용했다. 직업 트레이닝·블레스·전투력 버프는 별도 적용.
· SP: 1차=3×clamp(L-9,0,20), 2차=3×clamp(L-29,0,40),
  3차=3×clamp(L-69,0,50), 4차=3×clamp(L-119,0,40). 차수 사이 SP 이동 없음.
· 배분 가정: 허용된 모든 투자 가능 스킬에 먼저 1포인트(버프·소환 포함), 대표 주력기 마스터,
  피해 관련 버프·강화 우선, 남은 포인트를 다른 스킬에 배분. 한 레벨의 모든 공격은 같은 빌드다.
  각 레벨에서 SP 재분배를 허용한 비교 빌드이며, 레벨업 중 자동으로 그대로 이어지는 육성표는 아니다.
  전 스킬 마스터 가정이 아니다. 상세부에 스킬별 실제 투자 수와 SP 사용량을 모두 적었다.
· 자기 직업·허용 차수의 습득한 버프와 소환은 활성 상태, 콤보·발도술은 해당 투자량의 최대 중첩.
  팔라딘 속성 4종은 동시 중첩 불가: 해당 빌드에서 직접타 배율이 가장 높은 속성 하나를 선택.
  나이트로드 표창 분산 OFF, 해금한 최상위 표창 사용. 섀도어는 후방/연막 조건을 적용.
· 기본 합계=적 한 마리에게 본체 1회 사용+확정 추가타(쉐도우 파트너 포함)의 모든 줄 합.
  확률포함 평균=위 값+파이널어택·암행 기대값. 암행은 적 한 마리만 있는 조건이다.
  합계는 타격별 정수 내림 전 평균이므로 실제 표시값과 작은 차이가 있다. 시전 전투력 내림은 반영.
· 섀도어는 은신 공격이 강제 크리티컬이다. 모든 버프 ON과 비크리 실측을 동시에 충족할 수 없다.
  HP 요약은 은신 해제 후 반복 공격값, 상세에는 은신 ×4에서 크리티컬만 제거한 가상 첫타를 병기.
· 독립 소환수·장판은 켜져 있어도 본체 1회마다 동시에 1타를 때리지 않는다. 별도 피해 단위를 표기.
  다크드래곤 랜덤 버프, 표식·유폭, 리커버리 오로라 안의 특수 연사는 기본 반복값에 합치지 않는다.
· 2/3/5회 HP는 평균 피해×횟수인 설계 참고값이다. 확정 N방 보장, 실제 평균 처치 횟수, DPS가 아니다.
  공격속도·대상 수·크리티컬·소환수 기여가 다르므로 같은 N방이 같은 처치 시간을 뜻하지 않는다.

레벨별 공통 HP 기준표 — 대표 주력기 확정 합계의 10직업 중앙값 사용
Lv | 차수 | 기본CP | 최소~최대 1회 | 중앙값 D | 2D HP | 3D HP | 5D HP | 현재 HP
 10 | 1차 |     49 | 11.88~61.25 | 15.19 | 31 | 46 | 76 | 110
 20 | 1차 |    196 | 237.16~411.60 | 255.07 | 511 | 766 | 1,276 | 595
 30 | 1차 |    441 | 533.61~926.10 | 599.31 | 1,199 | 1,798 | 2,997 | 1,653
 40 | 2차 |    784 | 827.12~3,328.10 | 1,748.32 | 3,497 | 5,245 | 8,742 | 3,693
 50 | 2차 |  1,225 | 1,292.38~5,204.58 | 2,731.75 | 5,464 | 8,196 | 13,659 | 6,949
 60 | 2차 |  1,764 | 1,861.02~7,491.77 | 3,933.72 | 7,868 | 11,802 | 19,669 | 11,703
 70 | 2차 |  2,401 | 2,533.05~10,200.28 | 5,354.23 | 10,709 | 16,063 | 26,772 | 18,007
 80 | 3차 |  3,136 | 5,863.36~19,033.43 | 15,373.51 | 30,748 | 46,121 | 76,868 | 28,320
 90 | 3차 |  3,969 | 7,969.25~26,335.44 | 20,952.34 | 41,905 | 62,858 | 104,762 | 41,917
100 | 3차 |  4,900 | 9,839.20~37,161.60 | 26,759.48 | 53,519 | 80,279 | 133,798 | 59,250
110 | 3차 |  5,929 | 11,904.93~44,963.64 | 32,211.33 | 64,423 | 96,634 | 161,057 | 80,767
120 | 3차 |  7,056 | 14,167.69~53,509.86 | 38,167.97 | 76,336 | 114,504 | 190,840 | 105,840
130 | 4차 |  8,281 | 23,435.23~119,987.55 | 82,899.63 | 165,800 | 248,699 | 414,499 | 133,531
140 | 4차 |  9,604 | 27,179.32~149,340.60 | 106,256.02 | 212,513 | 318,769 | 531,281 | 165,669
150 | 4차 | 11,025 | 31,200.75~171,433.62 | 121,575.78 | 243,152 | 364,728 | 607,879 | 202,584
160 | 4차 | 12,544 | 35,499.52~195,052.32 | 137,653.27 | 275,307 | 412,960 | 688,267 | 244,608
170 | 4차 | 14,161 | 40,075.63~220,196.70 | 154,677.98 | 309,356 | 464,034 | 773,390 | 292,070
180 | 4차 | 15,876 | 44,929.08~246,866.76 | 172,700.62 | 345,402 | 518,102 | 863,504 | 345,303
190 | 4차 | 17,689 | 50,059.87~275,062.50 | 191,713.10 | 383,427 | 575,140 | 958,566 | 404,635
200 | 4차 | 19,600 | 55,468.00~304,774.14 | 211,715.41 | 423,431 | 635,147 | 1,058,578 | 470,400
현재 HP는 MonsterHpTable.csv의 hp를 런타임과 같이 100으로 나눈 값. 실제 테이블은 변경하지 않았다.
중앙값은 열 직업 중 가운데 두 값의 평균이다. 이 표의 공통 HP를 적용하면 직업별 처치 횟수는 달라진다.

직업별 대표 주력기 — 본체 반복 공격 기준
비숍 3차는 홀리 에로우, 썬콜 3차는 콜드빔, 불독 3차는 파이어에로우, 신궁 4차는 스트레이프를
대표로 유지한다. 샤이닝 레이·광역 마법·충전기 등은 아래 모든 공격기 상세에서 따로 비교한다.

[01. 히어로]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 60 | 2차 | 1,764 | 파워스트라이크(20) | 3,704.40 | 5,973.35 | 7,409 / 11,114 / 18,522 | 3.16
 70 | 2차 | 2,401 | 파워스트라이크(20) | 5,042.10 | 8,130.39 | 10,085 / 15,127 / 25,211 | 3.57
 80 | 3차 | 3,136 | 스피어 버스터(30) | 16,087.68 | 25,941.38 | 32,176 / 48,264 / 80,439 | 1.76
 90 | 3차 | 3,969 | 스피어 버스터(30) | 20,360.97 | 32,832.06 | 40,722 / 61,083 / 101,805 | 2.06
100 | 3차 | 4,900 | 스피어 버스터(30) | 25,137.00 | 40,533.41 | 50,274 / 75,411 / 125,685 | 2.36
110 | 3차 | 5,929 | 스피어 버스터(30) | 30,415.77 | 49,045.43 | 60,832 / 91,248 / 152,079 | 2.66
120 | 3차 | 7,056 | 스피어 버스터(30) | 36,197.28 | 58,368.11 | 72,395 / 108,592 / 180,987 | 2.92
130 | 4차 | 8,281 | 스피어 버스터(30) | 72,293.13 | 116,572.67 | 144,587 / 216,880 / 361,466 | 1.85
140 | 4차 | 12,485 | 스피어 버스터(30) | 108,994.05 | 175,752.91 | 217,989 / 326,983 / 544,971 | 1.52
150 | 4차 | 14,332 | 스피어 버스터(30) | 125,118.36 | 201,753.36 | 250,237 / 375,356 / 625,592 | 1.62
160 | 4차 | 16,307 | 스피어 버스터(30) | 142,360.11 | 229,555.68 | 284,721 / 427,081 / 711,801 | 1.72
170 | 4차 | 18,409 | 스피어 버스터(30) | 160,710.57 | 259,145.79 | 321,422 / 482,132 / 803,553 | 1.82
180 | 4차 | 20,638 | 스피어 버스터(30) | 180,169.74 | 290,523.71 | 360,340 / 540,510 / 900,849 | 1.92
190 | 4차 | 22,995 | 스피어 버스터(30) | 200,746.35 | 323,703.49 | 401,493 / 602,240 / 1,003,732 | 2.02
200 | 4차 | 25,480 | 스피어 버스터(30) | 222,440.40 | 358,685.15 | 444,881 / 667,322 / 1,112,202 | 2.11

[04. 비숍]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 매직클로(2) | 15.19 | 15.19 | 31 / 46 / 76 | 7.24
 20 | 1차 | 196 | 매직클로(20) | 237.16 | 237.16 | 475 / 712 / 1,186 | 2.51
 30 | 1차 | 441 | 매직클로(20) | 533.61 | 533.61 | 1,068 / 1,601 / 2,669 | 3.10
 40 | 2차 | 882 | 홀리 에로우(20) | 2,213.82 | 2,213.82 | 4,428 / 6,642 / 11,070 | 1.67
 50 | 2차 | 1,616 | 홀리 에로우(20) | 4,056.16 | 4,056.16 | 8,113 / 12,169 / 20,281 | 1.71
 60 | 2차 | 2,227 | 홀리 에로우(20) | 5,589.77 | 5,589.77 | 11,180 / 16,770 / 27,949 | 2.09
 70 | 2차 | 2,937 | 홀리 에로우(20) | 7,371.87 | 7,371.87 | 14,744 / 22,116 / 36,860 | 2.44
 80 | 3차 | 4,494 | 홀리 에로우(20) | 11,279.94 | 11,279.94 | 22,560 / 33,840 / 56,400 | 2.51
 90 | 3차 | 5,581 | 홀리 에로우(20) | 14,008.31 | 14,008.31 | 28,017 / 42,025 / 70,042 | 2.99
100 | 3차 | 6,786 | 홀리 에로우(20) | 17,032.86 | 17,032.86 | 34,066 / 51,099 / 85,165 | 3.48
110 | 3차 | 8,108 | 홀리 에로우(20) | 20,351.08 | 20,351.08 | 40,703 / 61,054 / 101,756 | 3.97
120 | 3차 | 9,547 | 홀리 에로우(20) | 23,962.97 | 23,962.97 | 47,926 / 71,889 / 119,815 | 4.42
130 | 4차 | 11,105 | 엔젤레이(29) | 87,100.20 | 87,100.20 | 174,201 / 261,301 / 435,501 | 1.53
140 | 4차 | 12,780 | 엔젤레이(30) | 103,518.00 | 103,518.00 | 207,036 / 310,554 / 517,590 | 1.60
150 | 4차 | 14,572 | 엔젤레이(30) | 118,033.20 | 118,033.20 | 236,067 / 354,100 / 590,166 | 1.72
160 | 4차 | 16,483 | 엔젤레이(30) | 133,512.30 | 133,512.30 | 267,025 / 400,537 / 667,562 | 1.83
170 | 4차 | 18,510 | 엔젤레이(30) | 149,931.00 | 149,931.00 | 299,862 / 449,793 / 749,655 | 1.95
180 | 4차 | 20,656 | 엔젤레이(30) | 167,313.60 | 167,313.60 | 334,628 / 501,941 / 836,568 | 2.06
190 | 4차 | 22,919 | 엔젤레이(30) | 185,643.90 | 185,643.90 | 371,288 / 556,932 / 928,220 | 2.18
200 | 4차 | 25,299 | 엔젤레이(30) | 204,921.90 | 204,921.90 | 409,844 / 614,766 / 1,024,610 | 2.30

[05. 아크메이지(썬,콜)]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 매직클로(2) | 15.19 | 15.19 | 31 / 46 / 76 | 7.24
 20 | 1차 | 196 | 매직클로(20) | 237.16 | 237.16 | 475 / 712 / 1,186 | 2.51
 30 | 1차 | 441 | 매직클로(20) | 533.61 | 533.61 | 1,068 / 1,601 / 2,669 | 3.10
 40 | 2차 | 940 | 콜드빔(20) | 3,328.10 | 3,328.10 | 6,657 / 9,985 / 16,641 | 1.11
 50 | 2차 | 1,470 | 콜드빔(20) | 5,204.58 | 5,204.58 | 10,410 / 15,614 / 26,023 | 1.34
 60 | 2차 | 2,116 | 콜드빔(20) | 7,491.77 | 7,491.77 | 14,984 / 22,476 / 37,459 | 1.56
 70 | 2차 | 2,881 | 콜드빔(20) | 10,200.28 | 10,200.28 | 20,401 / 30,601 / 51,002 | 1.77
 80 | 3차 | 4,390 | 콜드빔(20) | 15,542.94 | 15,542.94 | 31,086 / 46,629 / 77,715 | 1.82
 90 | 3차 | 5,556 | 콜드빔(20) | 19,671.20 | 19,671.20 | 39,343 / 59,014 / 98,357 | 2.13
100 | 3차 | 6,860 | 콜드빔(20) | 24,288.06 | 24,288.06 | 48,577 / 72,865 / 121,441 | 2.44
110 | 3차 | 8,300 | 콜드빔(20) | 29,386.43 | 29,386.43 | 58,773 / 88,160 / 146,933 | 2.75
120 | 3차 | 9,878 | 콜드빔(20) | 34,973.39 | 34,973.39 | 69,947 / 104,921 / 174,867 | 3.03
130 | 4차 | 11,593 | 체인라이트닝(30) | 119,987.55 | 119,987.55 | 239,976 / 359,963 / 599,938 | 1.11
140 | 4차 | 13,445 | 체인라이트닝(30) | 139,155.75 | 139,155.75 | 278,312 / 417,468 / 695,779 | 1.19
150 | 4차 | 15,435 | 체인라이트닝(30) | 159,752.25 | 159,752.25 | 319,505 / 479,257 / 798,762 | 1.27
160 | 4차 | 17,561 | 체인라이트닝(30) | 181,756.35 | 181,756.35 | 363,513 / 545,270 / 908,782 | 1.35
170 | 4차 | 19,825 | 체인라이트닝(30) | 205,188.75 | 205,188.75 | 410,378 / 615,567 / 1,025,944 | 1.42
180 | 4차 | 22,226 | 체인라이트닝(30) | 230,039.10 | 230,039.10 | 460,079 / 690,118 / 1,150,196 | 1.50
190 | 4차 | 24,764 | 체인라이트닝(30) | 256,307.40 | 256,307.40 | 512,615 / 768,923 / 1,281,537 | 1.58
200 | 4차 | 27,440 | 체인라이트닝(30) | 284,004.00 | 284,004.00 | 568,008 / 852,012 / 1,420,020 | 1.66

[06. 아크메이지(불,독)]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 매직클로(2) | 15.19 | 15.19 | 31 / 46 / 76 | 7.24
 20 | 1차 | 196 | 매직클로(20) | 237.16 | 237.16 | 475 / 712 / 1,186 | 2.51
 30 | 1차 | 441 | 매직클로(20) | 533.61 | 533.61 | 1,068 / 1,601 / 2,669 | 3.10
 40 | 2차 | 862 | 파이어에로우(20) | 1,081.81 | 1,081.81 | 2,164 / 3,246 / 5,410 | 3.41
 50 | 2차 | 1,470 | 파이어에로우(20) | 1,844.85 | 1,844.85 | 3,690 / 5,535 / 9,225 | 3.77
 60 | 2차 | 2,116 | 파이어에로우(20) | 2,655.58 | 2,655.58 | 5,312 / 7,967 / 13,278 | 4.41
 70 | 2차 | 2,881 | 파이어에로우(20) | 3,615.66 | 3,615.66 | 7,232 / 10,847 / 18,079 | 4.98
 80 | 3차 | 4,672 | 파이어에로우(20) | 5,863.36 | 5,863.36 | 11,727 / 17,591 / 29,317 | 4.83
 90 | 3차 | 6,350 | 파이어에로우(20) | 7,969.25 | 7,969.25 | 15,939 / 23,908 / 39,847 | 5.26
100 | 3차 | 7,840 | 파이어에로우(20) | 9,839.20 | 9,839.20 | 19,679 / 29,518 / 49,196 | 6.02
110 | 3차 | 9,486 | 파이어에로우(20) | 11,904.93 | 11,904.93 | 23,810 / 35,715 / 59,525 | 6.78
120 | 3차 | 11,289 | 파이어에로우(20) | 14,167.69 | 14,167.69 | 28,336 / 42,504 / 70,839 | 7.47
130 | 4차 | 13,249 | 불꽃 파도(29) | 94,249.12 | 94,249.12 | 188,499 / 282,748 / 471,246 | 1.42
140 | 4차 | 15,366 | 불꽃 파도(30) | 111,864.48 | 111,864.48 | 223,729 / 335,594 / 559,323 | 1.48
150 | 4차 | 17,640 | 불꽃 파도(30) | 128,419.20 | 128,419.20 | 256,839 / 385,258 / 642,096 | 1.58
160 | 4차 | 20,070 | 불꽃 파도(30) | 146,109.60 | 146,109.60 | 292,220 / 438,329 / 730,548 | 1.67
